,Year,MonthName,Ozone,Month,Date
0,1955,Jan,2.63,1,1955-01-01
1,1955,Feb,1.94,2,1955-02-01
2,1955,Mar,3.38,3,1955-03-01
3,1955,Apr,4.92,4,1955-04-01
4,1955,May,6.29,5,1955-05-01
5,1955,Jun,5.58,6,1955-06-01
6,1955,Jul,5.5,7,1955-07-01
7,1955,Aug,4.71,8,1955-08-01
8,1955,Sep,6.04,9,1955-09-01
9,1955,Oct,7.13,10,1955-10-01
10,1955,Nov,7.79,11,1955-11-01
11,1955,Dec,3.83,12,1955-12-01
12,1956,Jan,3.83,1,1956-01-01
13,1956,Feb,4.25,2,1956-02-01
14,1956,Mar,5.29,3,1956-03-01
15,1956,Apr,3.75,4,1956-04-01
16,1956,May,4.67,5,1956-05-01
17,1956,Jun,5.42,6,1956-06-01
18,1956,Jul,6.04,7,1956-07-01
19,1956,Aug,5.71,8,1956-08-01
20,1956,Sep,8.13,9,1956-09-01
21,1956,Oct,4.88,10,1956-10-01
22,1956,Nov,5.42,11,1956-11-01
23,1956,Dec,5.5,12,1956-12-01
24,1957,Jan,3.0,1,1957-01-01
25,1957,Feb,3.42,2,1957-02-01
26,1957,Mar,4.5,3,1957-03-01
27,1957,Apr,4.25,4,1957-04-01
28,1957,May,4.0,5,1957-05-01
29,1957,Jun,5.33,6,1957-06-01
30,1957,Jul,5.79,7,1957-07-01
31,1957,Aug,6.58,8,1957-08-01
32,1957,Sep,7.29,9,1957-09-01
33,1957,Oct,5.04,10,1957-10-01
34,1957,Nov,5.04,11,1957-11-01
35,1957,Dec,4.48,12,1957-12-01
36,1958,Jan,3.33,1,1958-01-01
37,1958,Feb,2.88,2,1958-02-01
38,1958,Mar,2.5,3,1958-03-01
39,1958,Apr,3.83,4,1958-04-01
40,1958,May,4.17,5,1958-05-01
41,1958,Jun,4.42,6,1958-06-01
42,1958,Jul,4.25,7,1958-07-01
43,1958,Aug,4.08,8,1958-08-01
44,1958,Sep,4.88,9,1958-09-01
45,1958,Oct,4.54,10,1958-10-01
46,1958,Nov,4.25,11,1958-11-01
47,1958,Dec,4.21,12,1958-12-01
48,1959,Jan,2.75,1,1959-01-01
49,1959,Feb,2.42,2,1959-02-01
50,1959,Mar,4.5,3,1959-03-01
51,1959,Apr,5.21,4,1959-04-01
52,1959,May,4.0,5,1959-05-01
53,1959,Jun,7.54,6,1959-06-01
54,1959,Jul,7.38,7,1959-07-01
55,1959,Aug,5.96,8,1959-08-01
56,1959,Sep,5.08,9,1959-09-01
57,1959,Oct,5.46,10,1959-10-01
58,1959,Nov,4.79,11,1959-11-01
59,1959,Dec,2.67,12,1959-12-01
60,1960,Jan,1.71,1,1960-01-01
61,1960,Feb,1.92,2,1960-02-01
62,1960,Mar,3.38,3,1960-03-01
63,1960,Apr,3.98,4,1960-04-01
64,1960,May,4.63,5,1960-05-01
65,1960,Jun,4.88,6,1960-06-01
66,1960,Jul,5.17,7,1960-07-01
67,1960,Aug,4.83,8,1960-08-01
68,1960,Sep,5.29,9,1960-09-01
69,1960,Oct,3.71,10,1960-10-01
70,1960,Nov,2.46,11,1960-11-01
71,1960,Dec,2.17,12,1960-12-01
72,1961,Jan,2.15,1,1961-01-01
73,1961,Feb,2.44,2,1961-02-01
74,1961,Mar,2.54,3,1961-03-01
75,1961,Apr,3.25,4,1961-04-01
76,1961,May,2.81,5,1961-05-01
77,1961,Jun,4.21,6,1961-06-01
78,1961,Jul,4.13,7,1961-07-01
79,1961,Aug,4.17,8,1961-08-01
80,1961,Sep,3.75,9,1961-09-01
81,1961,Oct,3.83,10,1961-10-01
82,1961,Nov,2.42,11,1961-11-01
83,1961,Dec,2.17,12,1961-12-01
84,1962,Jan,2.33,1,1962-01-01
85,1962,Feb,2.0,2,1962-02-01
86,1962,Mar,2.13,3,1962-03-01
87,1962,Apr,4.46,4,1962-04-01
88,1962,May,3.17,5,1962-05-01
89,1962,Jun,3.25,6,1962-06-01
90,1962,Jul,4.08,7,1962-07-01
91,1962,Aug,5.42,8,1962-08-01
92,1962,Sep,4.5,9,1962-09-01
93,1962,Oct,4.88,10,1962-10-01
94,1962,Nov,2.83,11,1962-11-01
95,1962,Dec,2.75,12,1962-12-01
96,1963,Jan,1.63,1,1963-01-01
97,1963,Feb,3.04,2,1963-02-01
98,1963,Mar,2.58,3,1963-03-01
99,1963,Apr,2.92,4,1963-04-01
100,1963,May,3.29,5,1963-05-01
101,1963,Jun,3.71,6,1963-06-01
102,1963,Jul,4.88,7,1963-07-01
103,1963,Aug,4.63,8,1963-08-01
104,1963,Sep,4.83,9,1963-09-01
105,1963,Oct,3.42,10,1963-10-01
106,1963,Nov,2.38,11,1963-11-01
107,1963,Dec,2.33,12,1963-12-01
108,1964,Jan,1.5,1,1964-01-01
109,1964,Feb,2.25,2,1964-02-01
110,1964,Mar,2.63,3,1964-03-01
111,1964,Apr,2.96,4,1964-04-01
112,1964,May,3.46,5,1964-05-01
113,1964,Jun,4.33,6,1964-06-01
114,1964,Jul,5.42,7,1964-07-01
115,1964,Aug,4.79,8,1964-08-01
116,1964,Sep,4.38,9,1964-09-01
117,1964,Oct,4.54,10,1964-10-01
118,1964,Nov,2.04,11,1964-11-01
119,1964,Dec,1.33,12,1964-12-01
120,1965,Jan,2.04,1,1965-01-01
121,1965,Feb,2.81,2,1965-02-01
122,1965,Mar,2.67,3,1965-03-01
123,1965,Apr,4.08,4,1965-04-01
124,1965,May,3.9,5,1965-05-01
125,1965,Jun,3.96,6,1965-06-01
126,1965,Jul,4.5,7,1965-07-01
127,1965,Aug,5.58,8,1965-08-01
128,1965,Sep,4.52,9,1965-09-01
129,1965,Oct,5.88,10,1965-10-01
130,1965,Nov,3.67,11,1965-11-01
131,1965,Dec,1.79,12,1965-12-01
132,1966,Jan,1.71,1,1966-01-01
133,1966,Feb,1.92,2,1966-02-01
134,1966,Mar,3.58,3,1966-03-01
135,1966,Apr,4.4,4,1966-04-01
136,1966,May,3.79,5,1966-05-01
137,1966,Jun,5.52,6,1966-06-01
138,1966,Jul,5.5,7,1966-07-01
139,1966,Aug,5.0,8,1966-08-01
140,1966,Sep,5.48,9,1966-09-01
141,1966,Oct,4.81,10,1966-10-01
142,1966,Nov,2.42,11,1966-11-01
143,1966,Dec,1.46,12,1966-12-01
144,1967,Jan,1.71,1,1967-01-01
145,1967,Feb,2.46,2,1967-02-01
146,1967,Mar,2.42,3,1967-03-01
147,1967,Apr,1.79,4,1967-04-01
148,1967,May,3.63,5,1967-05-01
149,1967,Jun,3.54,6,1967-06-01
150,1967,Jul,4.88,7,1967-07-01
151,1967,Aug,4.96,8,1967-08-01
152,1967,Sep,3.63,9,1967-09-01
153,1967,Oct,5.46,10,1967-10-01
154,1967,Nov,3.08,11,1967-11-01
155,1967,Dec,1.75,12,1967-12-01
156,1968,Jan,2.13,1,1968-01-01
157,1968,Feb,2.58,2,1968-02-01
158,1968,Mar,2.75,3,1968-03-01
159,1968,Apr,3.15,4,1968-04-01
160,1968,May,3.46,5,1968-05-01
